checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-10T22:28:14+00:00,Okuju Matcha,30g,yes,,,$45.00,,022975943748,https://kettl.co/products/okuju-matcha,
2026-09-10T22:28:14+00:00,Hanaka Matcha,20g,no,,,$36.00,,030201333515,https://kettl.co/products/hanaka-matcha,
2026-09-10T22:28:14+00:00,Soukou Matcha,20g,yes,,,$26.00,,183954238429,https://kettl.co/products/soukou-matcha,
2026-09-10T22:28:14+00:00,Uji Homare Matcha,100g,yes,,,$85.00,,022975933954,https://kettl.co/products/uji-homare-matcha,
2026-09-10T22:28:14+00:00,Uji Homare Matcha,1kg,yes,,,$600.00,,010444908428,https://kettl.co/products/uji-homare-matcha,
2026-09-10T22:28:14+00:00,Shirakawa Legacy Matcha Blend,100g,yes,,,$95.00,,022971156784,https://kettl.co/products/shirakawa-legacy-matcha-blend,
2026-09-10T22:28:14+00:00,Shirakawa Legacy Matcha Blend,1KG,no,,,$900.00,,022971435063,https://kettl.co/products/shirakawa-legacy-matcha-blend,
2026-09-10T22:28:14+00:00,Tsubaki Matcha,40g,yes,,,$45.00,,022974266268,https://kettl.co/products/tsubaki-matcha-2,
2026-09-10T22:28:14+00:00,Hinata Matcha,40g,yes,,,$38.00,,022974804057,https://kettl.co/products/hinata-matcha,
2026-09-10T22:28:14+00:00,Hinata Matcha,1kg,no,,,$415.00,,010446212837,https://kettl.co/products/hinata-matcha,
2026-09-10T22:28:14+00:00,Shirakawa Midori Matcha,40g,yes,,,$40.00,,022977775248,https://kettl.co/products/shirakawa-midori-matcha,
2026-09-10T22:28:14+00:00,Shizuka Matcha,20g,yes,,,$30.00,,195738245011,https://kettl.co/products/shizuka-matcha,
2026-09-10T22:28:14+00:00,Shuichiro Sakamoto Organic Seimei Matcha,20g,yes,,,$45.00,,022974208534,https://kettl.co/products/shuichiro-sakamoto-organic-seimei-matcha,
2026-09-10T22:28:14+00:00,Shuichiro Sakamoto Organic Saemidori Matcha,20g,yes,,,$38.00,,022972318792,https://kettl.co/products/shuichiro-sakamoto-organic-saemidori-matcha,
2026-09-10T22:28:14+00:00,Shibushi Organic Tokujou Matcha,20g,yes,,,$38.00,,022977185337,https://kettl.co/products/shibushi-organic-tokujou-matcha,
2026-09-10T22:28:14+00:00,Kogetsu Matcha,20g,yes,,,$29.00,,022975015582,https://kettl.co/products/kogetsu-matcha,
2026-09-10T22:28:14+00:00,Ryokuan Matcha,100g,yes,,,$65.00,,022976814030,https://kettl.co/products/ryokuan-matcha,
2026-09-10T22:28:14+00:00,Ryokuan Matcha,1kg,yes,,,$450.00,,166168800170,https://kettl.co/products/ryokuan-matcha,
