checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-12T16:38:11+00:00,Misaki™ Ceremonial Matcha,20g,yes,,,$28.00,,MA-MISA20-01,https://www.matchaeologist.com/products/misaki-ceremonial-matcha,
2026-09-12T16:38:11+00:00,Matsu™ Ceremonial Matcha,20g,no,,,$22.00,,MA-MATS20-01,https://www.matchaeologist.com/products/matsu-ceremonial-matcha,
2026-09-12T16:38:11+00:00,Meiko™ Ceremonial Matcha,20g,yes,,,$20.00,,MA-MEIK20-01,https://www.matchaeologist.com/products/meiko-ceremonial-matcha,
2026-09-12T16:38:11+00:00,Maya™ Ceremonial Matcha,20g,yes,,,$18.00,,MA-MAYA20-01,https://www.matchaeologist.com/products/maya-ceremonial-matcha-20g,
2026-09-12T16:38:11+00:00,Midori™ Culinary Matcha,20g,yes,,,$16.00,,MA-MIDO20-01,https://www.matchaeologist.com/products/midori-culinary-matcha,
2026-09-12T16:38:11+00:00,Meiko™ Ceremonial Matcha,100g,yes,,,$69.00,,MA-MEIK100-01,https://www.matchaeologist.com/products/meiko-ceremonial-matcha-100g,
2026-09-12T16:38:11+00:00,Maya™ Ceremonial Matcha,100g,yes,,,$59.00,,MA-MAYA100-01,https://www.matchaeologist.com/products/maya-ceremonial-matcha-100g,
2026-09-12T16:38:11+00:00,Midori™ Culinary Matcha,100g,yes,,,$49.00,,MA-MIDO100-01,https://www.matchaeologist.com/products/midori-culinary-matcha-100g,
2026-09-12T16:38:11+00:00,Meiko™ Ceremonial Matcha,1kg,yes,,,$550.00,,MA-MEIK1000-01,https://www.matchaeologist.com/products/meiko-ceremonial-matcha-1kg,
2026-09-12T16:38:11+00:00,Maya™ Ceremonial Matcha,1kg,yes,,,$330.00,,MA-MAYA1000-01,https://www.matchaeologist.com/products/maya-ceremonial-matcha-1kg,
2026-09-12T16:38:11+00:00,Midori™ Culinary Matcha,1kg,yes,,,$240.00,,MA-MIDO1000-01,https://www.matchaeologist.com/products/midori-culinary-matcha-1kg,
2026-09-12T16:38:11+00:00,Mirai™ Culinary Matcha,1kg,yes,,,$180.00,,MA-MIRA1000-01,https://www.matchaeologist.com/products/mirai-culinary-matcha-1kg,
