checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-13T08:28:10+00:00,Yama Matcha Green Tea,1 Tin,yes,,,$33.00,,864,https://mizubatea.com/products/yama-matcha-green-tea,
2026-09-13T08:28:10+00:00,Yama Matcha Green Tea,3 Tins,yes,,,$89.10,,895,https://mizubatea.com/products/yama-matcha-green-tea,
2026-09-13T08:28:10+00:00,Yama Matcha Green Tea,5 Tins,yes,,,$123.75,,898,https://mizubatea.com/products/yama-matcha-green-tea,
2026-09-13T08:28:10+00:00,Shirakawa Matcha Green Tea,Unique,yes,,,$55.00,,576,https://mizubatea.com/products/shirakawa-matcha,
2026-09-13T08:28:10+00:00,Daily Matcha Green Tea,40g,yes,,,$25.00,,001,https://mizubatea.com/products/daily-matcha,
2026-09-13T08:28:10+00:00,House Organic Matcha Green Tea,40g,yes,,,$28.00,,002,https://mizubatea.com/products/house-organic-matcha,
2026-09-13T08:28:10+00:00,Nagomi Organic Matcha Green Tea,40g,yes,,,$37.50,,003,https://mizubatea.com/products/nagomi-organic-matcha,
2026-09-13T08:28:10+00:00,Yorokobi Organic Matcha Green Tea,Unique,yes,,,$40.00,,004,https://mizubatea.com/products/yorokobi-ceremonial-organic-matcha,
2026-09-13T08:28:10+00:00,Tenryu Matcha Green Tea,Unique,yes,,,$45.00,,876,https://mizubatea.com/products/tenryu-matcha-green-tea,
2026-09-13T08:28:10+00:00,Yame Signature Matcha,100g,yes,,,$42.00,,673,https://mizubatea.com/products/yame-signature-matcha,
2026-09-13T08:28:10+00:00,Organic Signature Matcha,100 gram,yes,,,$44.00,,006,https://mizubatea.com/products/culinary-organic-matcha,
2026-09-13T08:28:10+00:00,Organic Signature Matcha,50 gram,no,,,$22.00,,0006,https://mizubatea.com/products/culinary-organic-matcha,
2026-09-13T08:28:10+00:00,Yūgana Matcha Green Tea,40g,yes,,,$54.00,,822,https://mizubatea.com/products/yugana-matcha-green-tea,
2026-09-13T08:28:10+00:00,Asahi Matcha,Unique,yes,,,$83.00,,10,https://mizubatea.com/products/asahi-matcha,
2026-09-13T08:28:10+00:00,Hinode Organic Matcha Green Tea,30g,yes,,,$45.00,,904,https://mizubatea.com/products/hinode-organic-matcha,
2026-09-13T08:28:10+00:00,Samidori Matcha,30g,yes,,,$77.00,,107,https://mizubatea.com/products/samidori-matcha,
2026-09-13T08:28:10+00:00,Uji Hikari Matcha,Unique,yes,,,$79.00,,012,https://mizubatea.com/products/uji-hikari-matcha,
2026-09-13T08:28:10+00:00,Tsuyuhikari Matcha Green Tea,30g,yes,,,$34.00,,777,https://mizubatea.com/products/tsuyuhikari-organic-matcha-green-tea,
2026-09-13T08:28:10+00:00,Kokoro Ceremonial Matcha Green Tea,40g,yes,,,$56.00,,005,https://mizubatea.com/products/kokoro-matcha,
2026-09-13T08:28:10+00:00,Koshun Matcha Green Tea,40g,yes,,,$42.00,,651,https://mizubatea.com/products/koshun-matcha-green-tea,
2026-09-13T08:28:10+00:00,Koshun Matcha Green Tea Pouch,40g,yes,,,$39.00,,652,https://mizubatea.com/products/birthday-koshun-matcha-green-tea,
2026-09-13T08:28:10+00:00,Gokou Matcha,Unique,no,,,$62.00,,011,https://mizubatea.com/products/gokou-matcha,
