checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-11T17:58:11+00:00,Daily Ceremonial Blend Single Serve Packets,Unique,yes,,,$32.00,,RM-MATCHA-STICK-DAILY-CEREMONIAL-30,https://rockysmatcha.com/products/rockys-matcha-daily-ceremonial-blend-single-serve-packets,
2026-09-11T17:58:11+00:00,Ceremonial Blend Matcha,20g,yes,,,$36.00,,RM-MATCHA-CEREMONIAL-20,https://rockysmatcha.com/products/rockys-matcha-ceremonial-blend-matcha-20g,
2026-09-11T17:58:11+00:00,Osada Ceremonial Blend Matcha,20g,yes,,,$20.00,,RM-MATCHA-OSADA-CEREMONIAL-20G,https://rockysmatcha.com/products/rockys-matcha-osada-ceremonial-blend-matcha-20g,
2026-09-11T17:58:11+00:00,Horii Shichimeien Ceremonial Blend,20g,yes,,,$28.00,,RM-MATCHA-HORII-CEREMONIAL-20,https://rockysmatcha.com/products/rockys-matcha-horii-shichimeien-ceremonial-blend-20g,
2026-09-11T17:58:11+00:00,Houjicha,20g,yes,,,$20.00,,RM-MATCHA-HOUJICHA-20,https://rockysmatcha.com/products/rockys-matcha-houjicha-20g,
2026-09-11T17:58:11+00:00,Single Cultivar Okumidori Matcha,20g,yes,,,$28.00,,RM-MATCHA-OKUMIDORI-20G,https://rockysmatcha.com/products/rockys-matcha-single-cultivar-okumidori-matcha-20g,
2026-09-11T17:58:11+00:00,Single Cultivar Koshun Matcha,20g,yes,,,$28.00,,RM-MATCHA-KOSHUN-20G,https://rockysmatcha.com/products/rockys-matcha-single-cultivar-koshun-matcha-20g,
2026-09-11T17:58:11+00:00,Single Cultivar Horii Shichimeien Narino Matcha,20g,yes,,,$88.00,,RM-MATCHA-NARINO-20G,https://rockysmatcha.com/products/rockys-matcha-single-cultivar-narino-matcha-20g,
2026-09-11T17:58:11+00:00,Ceremonial Blend Bundle,Unique,yes,,,$78.00,,RM-MATCHA-BUNDLE-CB,https://rockysmatcha.com/products/rockys-matcha-ceremonial-blend-bundle-set,
2026-09-11T17:58:11+00:00,Discovery Bundle,Unique,yes,,,$58.00,,RM-MATCHA-BUNDLE-DISCOVERY,https://rockysmatcha.com/products/rockys-matcha-discovery-bundle,
2026-09-11T17:58:11+00:00,Houjicha,100g,yes,,,$48.00,,RM-MATCHA-HOUJICHA-100,https://rockysmatcha.com/products/rockys-matcha-houjicha-100g,
2026-09-11T17:58:11+00:00,Horii Shichimeien Ceremonial Blend Matcha,100g,yes,,,$108.00,,RM-MATCHA-HORII-CEREMONIAL-100,https://rockysmatcha.com/products/rockys-matcha-horii-shichimeien-ceremonial-blend-matcha-100g,
2026-09-11T17:58:11+00:00,Ceremonial Blend Matcha,100g,yes,,,$168.00,,RM-MATCHA-CEREMONIAL-100,https://rockysmatcha.com/products/rockys-matcha-ceremonial-blend-matcha-100g,
2026-09-11T17:58:11+00:00,Osada Ceremonial Blend Matcha,100g,no,,,$78.00,,RM-MATCHA-OSADA-CEREMONIAL-100,https://rockysmatcha.com/products/rockys-matcha-osada-ceremonial-blend-matcha-100g,
2026-09-11T17:58:11+00:00,Tsujiki Ceremonial Blend Matcha,20g,no,,,$36.00,,RM-MATCHA-TSUJIKI-BLEND-20,https://rockysmatcha.com/products/rockys-matcha-tsujiki-blend-matcha-20g,
2026-09-11T17:58:11+00:00,Uji Premium Blend Matcha,100g,no,,,$108.00,,RM-MATCHA-UJIPREMIUM-100,https://rockysmatcha.com/products/rockys-matcha-uji-premium-blend-matcha-100g,
2026-09-11T17:58:11+00:00,Tsujiki Ceremonial Blend Matcha,100g,no,,,$168.00,,RM-MATCHA-TSUJIKI-BLEND-100,https://rockysmatcha.com/products/rockys-matcha-tsujiki-ceremonial-blend-matcha-100g,
2026-09-11T17:58:11+00:00,for Saie Ceremonial Blend Matcha,20g,no,,,$38.00,,RM-MATCHA-SAIE-20,https://rockysmatcha.com/products/rocky-s-matcha-for-saie-ceremonial-blend-matcha-20g,
2026-09-11T17:58:11+00:00,for Community Goods Ceremonial Blend,20g,no,,,$36.00,,RM-MATCHA-COMMUNITY-GOODS-20,https://rockysmatcha.com/products/rockys-matcha-for-community-goods-ceremonial-blend-20g,
