checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-12T04:18:11+00:00,Matcha Premium Hatsu-Mukashi “No.1”,20g Can,yes,"¥55,556",,,,MC17,https://global.tokichi.jp/products/bessei-hatsumukashi-matcha-uji-yi,
2026-09-12T04:18:11+00:00,Matcha Premium Hatsu-Mukashi “No.2”,20g Can,yes,"¥41,667",,,,MC18,https://global.tokichi.jp/products/bessei-hatsumukashi-matcha-uji-er,
2026-09-12T04:18:11+00:00,Matcha Premium Hatsu-Mukashi “No.3”,20g Can,yes,"¥27,778",,,,MC19,https://global.tokichi.jp/products/bessei-hatsumukashi-matcha-uji-can,
2026-09-12T04:18:11+00:00,Matcha Starter,Matcha Starter 100g Bag 2-bag set,yes,"¥11,428",,,,AS400,https://global.tokichi.jp/products/as400,
2026-09-12T04:18:11+00:00,Matcha Premium,100g Bag,yes,"¥22,000",,,,m100-prm,https://global.tokichi.jp/products/m100-prm,
2026-09-12T04:18:11+00:00,Matcha Standard,100g Bag,yes,"¥12,778",,,,m100-std,https://global.tokichi.jp/products/m100-std,
2026-09-12T04:18:11+00:00,Matcha Starter,100g Bag,yes,"¥6,463",,,,m100-str,https://global.tokichi.jp/products/m100-str,
2026-09-12T04:18:11+00:00,Matcha Fuji-no-Shiro,30g Can,yes,"¥2,297",,,,MC2,https://global.tokichi.jp/products/mc2,
2026-09-12T04:18:11+00:00,Matcha Ukishima-no-Shiro,30g Can,yes,"¥1,834",,,,MC1,https://global.tokichi.jp/products/mc1,
2026-09-12T04:18:11+00:00,Matcha Sho-no-Mukashi,30g Can,yes,"¥3,658",,,,MC6,https://global.tokichi.jp/products/mc6,
2026-09-12T04:18:11+00:00,Matcha Hiroha-no-Shiro,30g Can,yes,"¥3,130",,,,MC4,https://global.tokichi.jp/products/mc4,
2026-09-12T04:18:11+00:00,Matcha Seikan-no-Shiro,30g Can,yes,"¥3,130",,,,MC5,https://global.tokichi.jp/products/mc5,
2026-09-12T04:18:11+00:00,Matcha Senun-no-Shiro,30g Can,yes,"¥3,130",,,,MC3,https://global.tokichi.jp/products/mc3,
2026-09-12T04:18:11+00:00,Matcha Uji-no-Mukashi,30g Can,yes,"¥9,000",,,,MC10,https://global.tokichi.jp/products/mc10,
2026-09-12T04:18:11+00:00,Matcha Hatsu-no-Mukashi,30g Can,yes,"¥6,463",,,,MC7,https://global.tokichi.jp/products/mc7,
2026-09-12T04:18:11+00:00,Matcha Jingai-no-Mukashi,30g Can,yes,"¥6,463",,,,MC8,https://global.tokichi.jp/products/mc8,
2026-09-12T04:18:11+00:00,Matcha Seiko-no-Mukashi,30g Can,yes,"¥6,463",,,,MC9,https://global.tokichi.jp/products/mc9,
2026-09-12T04:18:11+00:00,Matcha Asagiri-no-Mukashi,30g Can,yes,"¥6,463",,,,MC20,https://global.tokichi.jp/products/mc20,
2026-09-12T04:18:11+00:00,Matcha Ato-Mukashi,30g Can,yes,"¥12,778",,,,MC11,https://global.tokichi.jp/products/mc11,
2026-09-12T04:18:11+00:00,Matcha Hatsu-Mukashi,30g Can,yes,"¥16,204",,,,MC12,https://global.tokichi.jp/products/mc12,
